ID Question|Objective|Instructions|Question|Question time|Answer|Is correct
1|Written|Kies het juiste antwoord om de zin aan te vullen:|Waarom _____ Ellen me zo laat gisteravond?|60|belt|0
|||||belde|1
|||||bellen|0
|||||belte|0
2|Written|Kies het juiste antwoord om de zin aan te vullen:|Mijn familie heeft 5 jaar in Nieuw Zeeland _____.|60|wonen|0
|||||leven|0
|||||gewoond|1
|||||woonde|0
3|Written|Kies het juiste antwoord om de zin aan te vullen:|Als Peter in Parijs _____ wonen, zou ik hem vaker zien.|60|zal|0
|||||gaat|0
|||||zou|1
|||||heeft|0
4|Written|Kies het juiste antwoord om de zin aan te vullen:|Zij is mijn beste vriendin. We _____ elkaar sinds onze kindertijd.|60|kenden|0
|||||konden|0
|||||kenten|0
|||||kennen|1
5|Written|Kies het juiste antwoord om de zin aan te vullen:|De student is niet geslaagd voor het examen, _____ het feit dat hij hard heeft gewerkt.|60|dankzij|0
|||||ookal|0
|||||ondanks|1
|||||tenzij|0
6|Written|Kies het juiste antwoord om de zin aan te vullen:|Wiens auto is dit? Het is _____.|60|de mijne|1
|||||mijn|0
|||||de mijn|0
|||||aan mij|0
7|Written|Kies het juiste antwoord om de zin aan te vullen:|Wanneer _____ je gaan lunchen?|60|wilt|0
|||||willen|0
|||||wil|1
|||||wilte|0
8|Written|Kies het juiste antwoord om de zin aan te vullen:|Je kunt kiezen tussen thuis _____ en met ons meegaan.|60|bleven|0
|||||blijven|1
|||||gaan|0
|||||bleef|0
9|Written|Kies het juiste antwoord om de zin aan te vullen:|Alison ging naar buiten om _____ bellen.|60|aan|0
|||||de|0
|||||op|0
|||||te|1
10|Written|Kies het juiste antwoord om de zin aan te vullen:|Laura _____ haar kamer niet schoon te maken want dat heeft ze gisteren gedaan.|60|mag|0
|||||kon|0
|||||hoeft|1
|||||moet|0
11|Written|Kies het juiste antwoord om de zin aan te vullen:|Sam had een betere score want zijn antwoorden waren gedetailleerder _____ die van mij.|60|als|0
|||||dan|1
|||||even|0
|||||van|0
12|Written|Kies het juiste antwoord om de zin aan te vullen:|Toen ik naar buiten ging, _____ het.|60|sneeuwde|1
|||||sneeuwt|0
|||||sneeuwen|0
|||||sneeuwden|0
13|Written|Kies het juiste antwoord om de zin aan te vullen:|We mochten niet naar binnen gaan _____ we geen tickets hadden.|60|omdat|1
|||||want|0
|||||dus|0
|||||daarom|0
14|Written|Kies het juiste antwoord om de zin aan te vullen:|Dat boek is _____ mijn broer.|60|aan|0
|||||van|1
|||||de|0
|||||met|0
15|Written|Kies het juiste antwoord om de zin aan te vullen:|Paul heeft _____ Frans gestudeerd.|60|voor jaren|0
|||||in jaren|0
|||||jaren|1
|||||met jaren|0
16|Written|Kies het juiste antwoord om de zin aan te vullen:|Marga is studente, en ze verdient wat extra geld _____ de zomer.|60|tijdens|1
|||||terwijl|0
|||||aan|0
|||||op|0
17|Written|Kies het juiste antwoord om de zin aan te vullen:|Mijn ouders wonen ver, dus ik zie ze _____.|60|vaak|0
|||||zelden|1
|||||altijd|0
|||||gedurende|0
18|Written|Kies het juiste antwoord om de zin aan te vullen:|Als ik niet naar het feestje _____ zou ik Jessica niet ontmoet hebben.|60|gaan|0
|||||ging|0
|||||was gegaan|1
|||||gegaan|0
19|Written|Kies het juiste antwoord om de zin aan te vullen:|Wanneer begint het nieuwe semester? Het begint _____ 2 January.|60|de|0
|||||aan|0
|||||om|0
|||||op|1
20|Written|Kies het juiste antwoord om de zin aan te vullen:|Jack werkt bij een bedrijf _____ computeronderdelen maakt.|60|die|0
|||||wie|0
|||||dat|1
|||||wat|0
21|Written|Kies het juiste antwoord om de zin aan te vullen:|Er waren geruchten over ontslagen, maar gelukkig _____ iedereen er blijven werken.|60|konde|0
|||||konden|0
|||||kunnen|0
|||||kon|1
22|Written|Kies het juiste antwoord om de zin aan te vullen:|Elena wil naar haar familie gaan tijdens de vakantie, maar ze heeft noch tijd _____ geld.|60|of|0
|||||even|0
|||||noch|1
|||||beide|0
23|Written|Kies het juiste antwoord om de zin aan te vullen:|Als het regent _____ we niet naar het strand gaan.|60|gingen|0
|||||zullen|1
|||||zouden|0
|||||gaan|0
24|Written|Kies het juiste antwoord om de zin aan te vullen:|Ik heb geen zin om naar jouw verhaal _____.|60|luisteren|0
|||||luister|0
|||||horen|0
|||||te luisteren|1
25|Written|Kies het juiste antwoord om de zin aan te vullen:|Sarah studeerde in de keuken _____ Mark kookte.|60|gedurende|0
|||||voor|0
|||||terwijl|1
26|Written|Kies het juiste antwoord om de zin aan te vullen:|Ik ging naar de winkel, dus ik _____ aan mijn collega of ze iets nodig had.|60|zei|0
|||||vroeg|1
|||||vraag|0
|||||zeg|0
27|Written|Kies het juiste antwoord om de zin aan te vullen:| _____ koos je ervoor om lid te worden van deze vereniging?|60|Waarom|1
|||||Wie|0
|||||Waar|0
|||||Want|0
28|Written|Kies het juiste antwoord om de zin aan te vullen:|Als je het cadeau koopt, zal ik het voor je _____.|60|inpakken|1
|||||aanpakken|0
|||||ingepakt|0
|||||aangepakt|0
29|Written|Kies het juiste antwoord om de zin aan te vullen:|Er _____ iets mis zijn met mijn computer, hij werkt niet goed.|60|is|0
|||||mag|0
|||||moet|1
|||||hoeft|0
30|Written|Kies het juiste antwoord om de zin aan te vullen:|Charlie werkte hier _____, maar nu niet meer.|60|vroeg|0
|||||is gewend|0
|||||vroeger|1
|||||nooit|0

