Numéro|Objectif|Consignes|Questions|Durée|Réponse|is_correct
1|Oral |Quelle affirmation est vraie ? |Il y a 7 places de libre dans le train de 16h pour Madrid.|60|Il reste 7 sièges|0
|||||Il est encore possible de réserver une place dans le train|0
2|Oral|Quelle affirmation est vraie ? | J'ai pris la bonne décision de quitter cet emploi , je ne pourrais pas être plus heureuse.|60|La personne serait plus heureuse si elle ne quittait pas son emploi.|0
|||||La personne n'arrive à prendre une décision |0
|||||La personne est heureuse de quitter son emploi.|0
3|Oral|Quelle affirmation est vraie ? |Nous sommes mardi 30 décembre.|60|La date est mardi 13 décembre|0
|||||La date est jeudi 30 décembre|0
|||||La date est mardi 30 décembre|0
4|Oral|Le numéro est: |M. Sanchez voudrait l'appeler. Son numéro est le 06 86 40 97 16.|60|06 86 14 97 16|0
|||||06 86 40 97 16|0
|||||06 86 40 97 60|0
5|Oral|Que veut dire la personne ? |Je suis trop fatiguée pour organiser quoi que ce soit aujourd'hui. On va la jouer à l'instinct.|60|La personne  veut  jouer d'un instrument.|0
|||||La personne préfère laisser les choses se faire naturellement.|0
|||||La personne veut que quelqu'un organise à sa place.|0
6|Oral|Quelle affirmation est vraie ? |Je suppose que vous voulez que je paye le plein tarif ? ( ton hésitant)|60|La personne doit deviner le prix.|0
|||||la personne devine le prix du plein tarif.|0
|||||La personne exprime son accord mitigé pour payer le plein tarif.|0
7|Oral|Quelle affirmation est vraie ? |Il peut y avoir une baisse des prix les prochains mois.|60|Les prix vont peut-être baisser.|0
|||||Les prix vont baisser en mai.|0
|||||C'est sûr que les prix vont baisser.|0
8|Oral|Que veut dire la personne ? |Béatrice joue avec le feu.|60|Elle s'amuse avec des flammes.|0
|||||Elle prend des risques|0
|||||Elle joue d'un instrument très spécial.|0
9|Oral|Quelle est la bonne orthographe ? |Le nom de la compagnie d'assurance est Vaudoise Assurances.  V.A.U.D.O.I.S.E |60|Vaudoise|0
|||||Vaedouse|0
|||||Veodoese|0
10|Oral|Que veut dire la personne  ? |Je suis désolée, la dernière chambre vient d'être réservée.|60|La personne est désolée de réserver la dernière chambre.|0
|||||Il y encore une chambre disponible.|0
|||||Il n'y a plus de chambre disponible.|0
11|Oral|Quelle affirmation est vraie ? |Les prix ont progressivement baissé depuis l'année dernière |60|Les prix sont plus bas que l'année dernière|0
|||||Les prix sont les mêmes que l'année dernière|0
|||||Les prix sont plus élevés que l'année dernière|0
12|Oral|Que veut dire la personne  ? |M.Richard veut que Louise le rappelle.|60|M. Richard veut appeler Louise.|0
|||||Louise devrait rappeler M. Richard.|0
|||||M. Richard devrait rappeler Louise.|0
