ID Questão|Objetivo|Instruções|Questão|Tempo|Resposta|Correta
1|Oral|Qual afirmação é correta?|There are 7 seats available on the 4 o'clock train to Madrid.|60|Há 4 assentos livres no trem.|0
|||||Ainda é possível reservar um assento no trem.|1
|||||Os preços deste trem são muito bons.|0
2|Oral|Qual afirmação é correta?|I couldn't be happier about my decision to quit this job.|60|O locutor estaría mais feliz se estivesse deixando o trabalho.|0
|||||O locutor não consegue decidir o que fazer.|0
|||||O locutor está feliz de deixar o trabalho.|1
3|Oral|Qual afirmação é correta?|It's Tuesday, the 30th of December.|60|É terça-feira, dia 13 de dezembro.|0
|||||É quinta-feira, dia 30 de dezembro.|0
|||||É terça-feira, dia 30 de dezembro.|1
4|Oral|O numero de telefone é:|Mr. Sanchez would like you to call him. His number is 06 86 40 97 16.|60|06 86 14 97 16|0
|||||06 86 40 97 16|1
|||||06 86 40 97 60|0
5|Oral|O que é que o locutor quer dizer?|I'm too tired to make plans tonight. Let's just play it by ear.|60|O locutor tem problema de vista|0
|||||O locutor quer deixar as coisas acontecerem naturalmente.|1
|||||O locutor quer ver alguma coisa.|0
6|Oral|Qual afirmação é correta?|You expect me to pay the full price? I guess so. (reluctant tone)|60|O locutor acha que o preço é adequado.|0
|||||O locutor está satisfeito de estar pagando esse preço.|0
|||||O locutor aceita pagar o preço, mas está insatisfeito.|1
7|Oral|Qual afirmação é correta?|Prices may drop in the coming months.|60|Existe a possibilidade de que os preços caiam.|1
|||||Os preços vão cair em maio.|0
|||||Os preços vão cair com certeza.|0
8|Oral|O que é que o locutor quer dizer?|Elizabeth is throwing caution to the wind. Elizabeth não sabia a resposta, então ela chutou.|60|Ela chutou alguma coisa.|0
|||||Ela tentou adivinhar a resposta.|1
|||||Ela ficou brava por não saber a resposta.|0
9|Oral|Como se escreve o nome?|O nome da corretora é Joresma Seguros. Se escreve J-O-R-E-S-M-A.|60|Joresna|0
|||||Gohesma|0
|||||Joresma|1
10|Oral|O que é que o locutor quer dizer?|I'm afraid the last room was just booked.|60|O locutor está triste porque o último quarto já foi reservado.|0
|||||Não há mais quartos disponíveis.|1
|||||Ainda há um quarto disponível.|0
11|Oral|Qual afirmação é correta?|Prices have been steadily decreasing since last year.|60|Os preços estão mais baixos do que no ano passado.|1
|||||Os preços estão iguais aos do ano passado.|0
|||||Os preços estão mais altos do que no ano passado.|0
