PACK_ID|PACK_REF|PACK NAME EN|PACK NAME FR|PACK LEVEL|CHECK DUR|PACK OBJECTIVES|PACK RESULTS|PACK CONTENT|PACK HOURS|LESSON DURATION|METHODE|CERTIFICATION|PACK HT|PACK TVA|PACK TTC|NA|PTA|M1|M1 NB L|M1 H|M2|M2 NB L|M2 H|M3|M3 NB L|M3 H|M4|M4 NB L|M4 H|M5|M5 NB L|M5 H|M6|M6 NB L|M6 H|M7|M7 NB L|M7 H|GRAM H|OPEN H|EL H|TOTAL H
|||ANGLAIS DÉBUTANT - PRÉPARATION DE MA CERTIFICATION|A1/A2|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification.|Bien appréhender le déroulement de la certification. Se mettre dans les meilleures dispositions pour le passage de la certification, grâce à une simulation et aux explications du formateur. Prétendre à obtenir un meilleur score.|Passage d’un test blanc  Analyse des résultats par un formateur. Formation, explication des points faibles|5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||4,00||5,0
|||ANGLAIS DÉBUTANT - JE DÉCOUVRE CETTE LANGUE|A1/A2|OK|Faire vos premiers pas en anglais. Apprendre du vocabulaire et des expressions utiles.|Débloquer sa peur d’utiliser l’anglais et prendre goût à poursuivre son apprentissage.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|A1/A2 - ALL ABOUT ME [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS DÉBUTANT - PRÉPARATION D' UN ENTRETIEN|A1/A2|OK|Introduire une approche professionnelle dans la maîtrise de l'anglais.|Faire bonne impression pendant un entretien en anglais, même avec un niveau débutant.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|A2 - Interviews [3]|3|3,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||1,00||5,0
|||ANGLAIS DÉBUTANT - MA PREMIÈRE DISCUSSION|A1/A2|OK|Pour apprendre une langue vivante il faut la parler.|Acquérir les bases d'une discussion en anglais.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|A1/A2 - SOCIAL CONVERSATION [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS DÉBUTANT - PRÉPARER MES VACANCES|A1/A2|OK|Préparer son voyage en apprenant des mots et expressions utiles.|Se sensibiliser aux situations futures.||5|1|VISIO|LINGUASKILL|295,00 €|59,00 €|354,00 €|0,5|0,5|A1/A2 - HOLIDAY [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS DÉBUTANT - PRÉPARATION DE MA CERTIFICATION|A1/A2|OK|Se préparer au passage de sa certification. Optimiser ses chances d'obtenir le score souhaité au passage de la certification.|Bien appréhender le déroulement de la certification. Se mettre dans les meilleures dispositions pour le passage de la certification, grâce à une simulation et aux explications du formateur. Prétendre à obtenir un meilleur score.|Passage d'un test blanc  Analyse des résultats par un formateur. Formation, explication des points faibles 1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||4,00||5,0
|||ANGLAIS DÉBUTANT - JE DÉCOUVRE CETTE LANGUE|A1/A2|OK|Faire vos premiers pas en anglais. Apprendre du vocabulaire et des expressions utiles.|Débloquer sa peur d'utiliser l'anglais et prendre goût à poursuivre son apprentissage.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|A1/A2 - ALL ABOUT ME [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS DÉBUTANT - PRÉPARATION D' UN ENTRETIEN|A1/A2|OK|Introduire une approche professionnelle dans la maîtrise de l'anglais|Faire bonne impression pendant un entretien en anglais, même avec un niveau débutant.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|A2 - Interviews [3]|3|3,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||1,00||5,0
|||ANGLAIS DÉBUTANT - MA PREMIÈRE DISCUSSION|A1/A2|OK|Pour apprendre une langue vivante il faut la parler.|Acquérir les bases d'une discussion en anglais.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|A1/A2 - SOCIAL CONVERSATION [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
|||ANGLAIS DÉBUTANT - PRÉPARER MES VACANCES|A1/A2|OK|Préparer son voyage en apprenant des mots et expressions utiles.|Se sensibiliser aux situations futures.|1 mois d'accès illimité à notre plateforme, comprenant entre autres : - Test de niveau - Profil d'apprentissage - 1000 contenus multimédia - Quizs & exercices de validation d'acquis - Bibliothèque de modèles d'email|5|1|VISIO + EL|LINGUASKILL|320,00 €|64,00 €|384,00 €|0,5|0,5|A1/A2 - HOLIDAY [4]|4|4,00|||0,00|||0,00|||0,00|||0,00|||0,00|||0,00||||5,0
